,公司名稱,公司類別描述,職缺名稱,職務性質,職務內容,更新日期,職缺連結,公司地址,地區,經歷,學歷
12,日新軟體股份有限公司,電腦軟體服務業,Python 資深工程師,1,"We are looking for a Python Developer who is capable of developing interactive web pages, API servers, web-tracking modules",3/23,https://www.104.com.tw/job/6yfn5?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市內湖區瑞光路333號16樓,台北市內湖區,3年以上,大學
13,臺灣發展軟體科技股份有限公司,其它軟體及網路相關業,Software Engineer(Python),1," to have:
    1. 熟悉 Python 語言
    2. 熟悉演算法
    3. 良好軟體設計、開發與重構能力
    4. 具團隊合作精神
    5. 熟悉 git
    6. 1年以上產業工作經驗

Good to",3/24,https://www.104.com.tw/job/76e5f?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市內湖區瑞光路,台北市內湖區,1年以上,大學
14,瞬聯科技股份有限公司,其它軟體及網路相關業,CI-Python Engineer,1,"We are seeking an experienced software engineer to work with our development team & US clients. You will be directly working with cross-country elite engineers in the world. Also, you will be joining the Test System (MobLab) team that is responsible for the development, design, diagnose and troubleshooting, and bug fixing software modules to improve product performance and stability.",3/24,https://www.104.com.tw/job/744ew?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市大安區和平東路二段339號6樓,台北市大安區,2年以上,大學
15,米約科技有限公司,網際網路相關業,Python工程師,1,"1.熟悉數據結構和演算法
2.熟悉 Python 編程語言， 有大型項目架構經驗優先
3.熟悉至少一種關係型數據庫 MySQL， PostgreSQL
4.熟悉至少一樣web框架， tornado/sanic/flask/Django, 並能掌握",3/17,https://www.104.com.tw/job/6zey2?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市中山區天祥路59號,台北市中山區,經歷不拘,學歷不拘
16,新據點廣告事業股份有限公司,廣告行銷公關業,Data Engineer | Python,1,"且樂於分享討論
．數位遊牧民族，在世界各地一起遠端工作

【我們需要這樣的你】
．擁有數據科學、數據分析、商業智能或相關領域的知識
．具有使用各種估計/預測/最佳化方法從大量數據中找出某種脈絡的能力
．具有程式撰寫能力，例如 Python
．注重細",3/20,https://www.104.com.tw/job/787eu?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市信義區信義路4段415號14樓,台北市信義區,經歷不拘,專科
17,創奕能源科技股份有限公司,電池製造業,Python 後端工程師,1,"1. 負責平台後端開發、維護及優化 
2. 負責平台與第三方服務之串接 
3. 熟悉RESTful API使用 
4. 具備Python使用經驗 
5. 具備MySQL使用經驗 
6. 具備Git/Gitflow操作，包含branch、",3/24,https://www.104.com.tw/job/718o5?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,桃園市中壢區高鐵站前西路一段２６８號２樓之1,桃園市中壢區,經歷不拘,大學
18,橋新科技股份有限公司,電腦軟體服務業,Python 金融資料整理,2,"股票、期貨、可轉債等相關商品的資料整理。

若有意願，可與交易員合作開發、分析數據，從頭到尾開發出直覺、好玩的交易想法
我們不走坊間煉金術士類型的AABB+左左右右拼湊式開發路線，會以金融/統計理論出發，
並以實際數據驗證猜想、開發出可行的交易策略，

從中你將可以學習到如何有系統地構思交易猜想、驗證、以及實行的種種眉角",3/23,https://www.104.com.tw/job/77wkr?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市文山區三福街,台北市文山區,經歷不拘,大學
19,欣創科技有限公司,電腦軟體服務業,Python工程師(PN001),1,"+ 具備 Python 實務經驗 
+ 工作態度積極、負責，重視團隊溝通合作 
+ 不當獨行俠，行有餘力時會主動支援及協助 

加分 
++ 有使用 Python 開發的開源程式碼專案可供參考 
++ 有撰寫 Unit Test 經驗",3/22,https://www.104.com.tw/job/6kgjo?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=1&mode=s&jobsource=jolist_a_relevance,台北市松山區民權東路三段142號10樓1006室,台北市松山區,經歷不拘,專科
20,學力創意股份有限公司,其它軟體及網路相關業,Python網站工程師,1,"-Python 監控與維運系統開發
-熟悉Python編程語言
-設計編寫API
-系統維運
-技術文件撰寫

【職務條件】
-具有 Git 版本控制相關知識
-熟悉 Linux 基本常見指令
-可獨立或與團隊合作，工作態度積極、負責，能配合公司",3/17,https://www.104.com.tw/job/72zcd?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市大安區信義路四段55號2樓之1,台北市大安區,1年以上,學歷不拘
21,干城數碼有限公司,電腦軟體服務業,Python 資料分析師,1,"1.使用統計、機器學習、深度學習等演算法進行建模
2.協助定義商業問題以及方法論，定義假說以及指標，調整設計數據模型 
3.資料分析專案管理 
4.負責專案之提案/執行",3/18,https://www.104.com.tw/job/6vg27?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=2&mode=s&jobsource=jolist_b_relevance,台北市中山區,台北市中山區,2年以上,大學
